Source,Target,Type,weight,book
Jory-Cassel,Rodrik-Cassel,Undirected,5,1
Jory-Cassel,Sansa-Stark,Undirected,9,1
Jory-Cassel,Stannis-Baratheon,Undirected,3,1
Jory-Cassel,Theon-Greyjoy,Undirected,3,1
Jory-Cassel,Tomard,Undirected,5,1
Jory-Cassel,Vayon-Poole,Undirected,5,1
Jory-Cassel,Wyl-(guard),Undirected,6,1
Joseth,Luwin,Undirected,3,1
Jyck,Morrec,Undirected,5,1
Jyck,Tyrion-Lannister,Undirected,6,1
Karyl-Vance,Marq-Piper,Undirected,3,1
Kevan-Lannister,Tyrion-Lannister,Undirected,15,1
Kevan-Lannister,Tywin-Lannister,Undirected,9,1
Kurleket,Tyrion-Lannister,Undirected,5,1
Lancel-Lannister,Robert-Baratheon,Undirected,3,1
Leo-Lefford,Tyrion-Lannister,Undirected,4,1
Loras-Tyrell,Mace-Tyrell,Undirected,3,1
Loras-Tyrell,Petyr-Baelish,Undirected,5,1
Loras-Tyrell,Renly-Baratheon,Undirected,5,1
Loras-Tyrell,Robert-Baratheon,Undirected,4,1
Loras-Tyrell,Rodrik-Cassel,Undirected,3,1
Loras-Tyrell,Sandor-Clegane,Undirected,4,1
Loras-Tyrell,Sansa-Stark,Undirected,14,1
Luwin,Nan,Undirected,4,1
Luwin,Osha,Undirected,16,1
Luwin,Rickard-Karstark,Undirected,3,1
Luwin,Rickon-Stark,Undirected,9,1
Luwin,Robb-Stark,Undirected,20,1
Luwin,Rodrik-Cassel,Undirected,3,1
Luwin,Theon-Greyjoy,Undirected,10,1
Luwin,Tommen-Baratheon,Undirected,3,1
Luwin,Tyrion-Lannister,Undirected,10,1
Lyanna-Stark,Robert-Baratheon,Undirected,9,1
Lyanna-Stark,Sansa-Stark,Undirected,4,1
Lyn-Corbray,Lysa-Arryn,Undirected,3,1
Lysa-Arryn,Petyr-Baelish,Undirected,4,1
Lysa-Arryn,Robert-Arryn,Undirected,8,1
Lysa-Arryn,Robert-Baratheon,Undirected,5,1
Lysa-Arryn,Stannis-Baratheon,Undirected,4,1
Lysa-Arryn,Tyrion-Lannister,Undirected,25,1
Lysa-Arryn,Vardis-Egen,Undirected,5,1
Mace-Tyrell,Paxter-Redwyne,Undirected,3,1
Maege-Mormont,Rickard-Karstark,Undirected,3,1
Maegor-I-Targaryen,Sansa-Stark,Undirected,4,1
Marillion,Rodrik-Cassel,Undirected,5,1
Marillion,Tyrion-Lannister,Undirected,10,1
Marillion,Willis-Wode,Undirected,4,1
Marq-Piper,Tywin-Lannister,Undirected,3,1
Meryn-Trant,Robert-Baratheon,Undirected,3,1
Meryn-Trant,Sandor-Clegane,Undirected,4,1
Meryn-Trant,Sansa-Stark,Undirected,5,1
Meryn-Trant,Syrio-Forel,Undirected,5,1
Mirri-Maz-Duur,Qotho,Undirected,9,1
Mord,Tyrion-Lannister,Undirected,20,1
Mordane,Myrcella-Baratheon,Undirected,12,1
Mordane,Petyr-Baelish,Undirected,3,1
Mordane,Robert-Baratheon,Undirected,7,1
Mordane,Sansa-Stark,Undirected,43,1
Morrec,Tyrion-Lannister,Undirected,5,1
Mycah,Sandor-Clegane,Undirected,5,1
Mycah,Sansa-Stark,Undirected,10,1
Myrcella-Baratheon,Robert-Baratheon,Undirected,3,1
Myrcella-Baratheon,Sansa-Stark,Undirected,8,1
Myrcella-Baratheon,Tommen-Baratheon,Undirected,6,1
Nan,Robb-Stark,Undirected,4,1
Osha,Robb-Stark,Undirected,3,1
Petyr-Baelish,Pycelle,Undirected,14,1
Petyr-Baelish,Renly-Baratheon,Undirected,12,1
Petyr-Baelish,Robert-Baratheon,Undirected,30,1
Petyr-Baelish,Rodrik-Cassel,Undirected,7,1
Petyr-Baelish,Sandor-Clegane,Undirected,3,1
Petyr-Baelish,Sansa-Stark,Undirected,8,1
Petyr-Baelish,Tomard,Undirected,4,1
Petyr-Baelish,Tyrion-Lannister,Undirected,11,1
Petyr-Baelish,Varys,Undirected,29,1
Pycelle,Renly-Baratheon,Undirected,7,1
Pycelle,Robert-Baratheon,Undirected,26,1
Pycelle,Sansa-Stark,Undirected,8,1
Pycelle,Stannis-Baratheon,Undirected,3,1
Pycelle,Tywin-Lannister,Undirected,4,1
Pycelle,Varys,Undirected,17,1
Pypar,Rast,Undirected,4,1
Pypar,Samwell-Tarly,Undirected,11,1
Pypar,Todder,Undirected,8,1
Qotho,Quaro,Undirected,4,1
Quaro,Rakharo,Undirected,6,1
Randyll-Tarly,Samwell-Tarly,Undirected,5,1
Rast,Samwell-Tarly,Undirected,3,1
Raymun-Darry,Robert-Baratheon,Undirected,8,1
Renly-Baratheon,Robb-Stark,Undirected,3,1
Renly-Baratheon,Robert-Baratheon,Undirected,42,1
Renly-Baratheon,Sandor-Clegane,Undirected,7,1
Renly-Baratheon,Sansa-Stark,Undirected,5,1
Renly-Baratheon,Stannis-Baratheon,Undirected,19,1
Renly-Baratheon,Tyrion-Lannister,Undirected,4,1
Renly-Baratheon,Varys,Undirected,9,1
Rhaegar-Targaryen,Robert-Baratheon,Undirected,22,1
Rhaegar-Targaryen,Sansa-Stark,Undirected,3,1
Rhaegar-Targaryen,Tywin-Lannister,Undirected,4,1
Rhaegar-Targaryen,Viserys-Targaryen,Undirected,5,1
Rickard-Karstark,Robb-Stark,Undirected,9,1
Rickard-Karstark,Roose-Bolton,Undirected,3,1
Rickon-Stark,Robb-Stark,Undirected,20,1
Rickon-Stark,Sansa-Stark,Undirected,8,1
Rickon-Stark,Tyrion-Lannister,Undirected,4,1
Robb-Stark,Robert-Baratheon,Undirected,6,1
Robb-Stark,Rodrik-Cassel,Undirected,15,1
Robb-Stark,Roose-Bolton,Undirected,6,1
Robb-Stark,Samwell-Tarly,Undirected,4,1
Robb-Stark,Sansa-Stark,Undirected,13,1
Robb-Stark,Stiv,Undirected,3,1
Robb-Stark,Theon-Greyjoy,Undirected,37,1
Robb-Stark,Torrhen-Karstark,Undirected,3,1
Robb-Stark,Tyrion-Lannister,Undirected,11,1
Robb-Stark,Tywin-Lannister,Undirected,9,1
Robb-Stark,Walder-Frey,Undirected,7,1
Robb-Stark,Wendel-Manderly,Undirected,3,1
Robb-Stark,Yoren,Undirected,3,1
Robert-Arryn,Tyrion-Lannister,Undirected,9,1
Robert-Baratheon,Sandor-Clegane,Undirected,9,1
Robert-Baratheon,Sansa-Stark,Undirected,26,1
Robert-Baratheon,Stannis-Baratheon,Undirected,21,1
Robert-Baratheon,Tommen-Baratheon,Undirected,3,1
Robert-Baratheon,Tyrion-Lannister,Undirected,18,1
Robert-Baratheon,Tywin-Lannister,Undirected,13,1
Robert-Baratheon,Varys,Undirected,36,1
Robert-Baratheon,Vayon-Poole,Undirected,3,1
Robert-Baratheon,Viserys-Targaryen,Undirected,7,1
Rodrik-Cassel,Theon-Greyjoy,Undirected,6,1
Rodrik-Cassel,Tyrion-Lannister,Undirected,10,1
Rodrik-Cassel,Willis-Wode,Undirected,7,1
Roose-Bolton,Tywin-Lannister,Undirected,4,1
Sandor-Clegane,Sansa-Stark,Undirected,23,1
Sandor-Clegane,Tyrion-Lannister,Undirected,5,1
Sansa-Stark,Stannis-Baratheon,Undirected,3,1
Sansa-Stark,Tomard,Undirected,3,1
Sansa-Stark,Tyrion-Lannister,Undirected,3,1
Sansa-Stark,Varys,Undirected,4,1
Shae,Tyrion-Lannister,Undirected,12,1
Shagga,Timett,Undirected,4,1
Shagga,Tyrion-Lannister,Undirected,17,1
Shagga,Ulf-son-of-Umar,Undirected,4,1
Stannis-Baratheon,Tywin-Lannister,Undirected,4,1
Stannis-Baratheon,Varys,Undirected,5,1
Stevron-Frey,Walder-Frey,Undirected,3,1
Theon-Greyjoy,Tyrion-Lannister,Undirected,3,1
Theon-Greyjoy,Tywin-Lannister,Undirected,3,1
Theon-Greyjoy,Walder-Frey,Undirected,4,1
Timett,Tyrion-Lannister,Undirected,3,1
Tommen-Baratheon,Tyrion-Lannister,Undirected,3,1
Tyrion-Lannister,Tywin-Lannister,Undirected,40,1
Tyrion-Lannister,Vardis-Egen,Undirected,9,1
Tyrion-Lannister,Varys,Undirected,3,1
Tyrion-Lannister,Willis-Wode,Undirected,4,1
Tyrion-Lannister,Yoren,Undirected,10,1
Tywin-Lannister,Varys,Undirected,4,1
Tywin-Lannister,Walder-Frey,Undirected,8,1
Waymar-Royce,Will-(prologue),Undirected,18,1Source,Target,Type,weight,book
Aegon-I-Targaryen,Harren-Hoare,Undirected,4,2
Aegon-I-Targaryen,Nan,Undirected,3,2
Aegon-I-Targaryen,Rhaenys-Targaryen,Undirected,4,2
Aegon-I-Targaryen,Tyrion-Lannister,Undirected,3,2
Aegon-I-Targaryen,Visenya-Targaryen,Undirected,3,2
Aegon-V-Targaryen,Aemon-Targaryen-(Maester-Aemon),Undirected,3,2
Aemon-Targaryen-(Maester-Aemon),Daeron-II-Targaryen,Undirected,3,2
Aemon-Targaryen-(Maester-Aemon),Jeor-Mormont,Undirected,9,2
Aemon-Targaryen-(Maester-Aemon),Jon-Snow,Undirected,11,2
Aemon-Targaryen-(Maester-Aemon),Maekar-I-Targaryen,Undirected,3,2
Aemon-Targaryen-(Maester-Aemon),Samwell-Tarly,Undirected,5,2
Aenys-Frey,Arya-Stark,Undirected,6,2
Aeron-Greyjoy,Dagmer,Undirected,5,2
Aeron-Greyjoy,Theon-Greyjoy,Undirected,17,2
Aerys-I-Targaryen,Robert-Baratheon,Undirected,3,2
Aerys-II-Targaryen,Eddard-Stark,Undirected,5,2
Aerys-II-Targaryen,Jaime-Lannister,Undirected,4,2
Aerys-II-Targaryen,Rhaegar-Targaryen,Undirected,4,2
Aerys-II-Targaryen,Robert-Baratheon,Undirected,6,2
Aerys-II-Targaryen,Tyrion-Lannister,Undirected,3,2
Aggar,Gariss,Undirected,3,2
Aggar,Gelmarr,Undirected,3,2
Aggar,Gynir,Undirected,3,2
Aggar,Ramsay-Snow,Undirected,4,2
Aggo,Belwas,Undirected,3,2
Aggo,Daenerys-Targaryen,Undirected,10,2
Aggo,Jhogo,Undirected,12,2
Aggo,Jorah-Mormont,Undirected,4,2
Aggo,Rakharo,Undirected,4,2
Alayaya,Dancy,Undirected,3,2
Alayaya,Tyrion-Lannister,Undirected,3,2
Alebelly,Bran-Stark,Undirected,7,2
Alebelly,Hayhead,Undirected,3,2
Alebelly,Jojen-Reed,Undirected,6,2
Alebelly,Mikken,Undirected,3,2
Alester-Florent,Cortnay-Penrose,Undirected,4,2
Alester-Florent,Davos-Seaworth,Undirected,3,2
Alester-Florent,Renly-Baratheon,Undirected,3,2
Alester-Florent,Stannis-Baratheon,Undirected,5,2
Allar-Deem,Janos-Slynt,Undirected,3,2
Allar-Deem,Tyrion-Lannister,Undirected,4,2
Allard-Seaworth,Davos-Seaworth,Undirected,5,2
Allard-Seaworth,Marya-Seaworth,Undirected,5,2
Allard-Seaworth,Stannis-Baratheon,Undirected,3,2
Alliser-Thorne,Jeor-Mormont,Undirected,3,2
Alliser-Thorne,Joffrey-Baratheon,Undirected,4,2
Alliser-Thorne,Jon-Snow,Undirected,3,2
Alliser-Thorne,Tyrion-Lannister,Undirected,8,2
Amabel,Arya-Stark,Undirected,6,2
Amabel,Harra,Undirected,4,2
Amory-Lorch,Arya-Stark,Undirected,9,2
Amory-Lorch,Cersei-Lannister,Undirected,4,2
Amory-Lorch,Chiswyck,Undirected,4,2
Amory-Lorch,Dunsen,Undirected,3,2
Amory-Lorch,Gendry,Undirected,3,2
Amory-Lorch,Gregor-Clegane,Undirected,7,2
Amory-Lorch,Hot-Pie,Undirected,3,2
Amory-Lorch,Ilyn-Payne,Undirected,4,2
Amory-Lorch,Joffrey-Baratheon,Undirected,7,2
Amory-Lorch,Meryn-Trant,Undirected,5,2
Amory-Lorch,Polliver,Undirected,3,2
Amory-Lorch,Rafford,Undirected,5,2
Amory-Lorch,Roose-Bolton,Undirected,3,2
Amory-Lorch,Sandor-Clegane,Undirected,5,2
Amory-Lorch,Tickler,Undirected,5,2
Amory-Lorch,Tywin-Lannister,Undirected,4,2
Amory-Lorch,Vargo-Hoat,Undirected,7,2
Amory-Lorch,Yoren,Undirected,5,2
Ardrian-Celtigar,Monford-Velaryon,Undirected,5,2
Aron-Santagar,Sandor-Clegane,Undirected,3,2
Arwyn-Oakheart,Randyll-Tarly,Undirected,3,2
Arya-Stark,Beric-Dondarrion,Undirected,5,2
Arya-Stark,Biter,Undirected,10,2
Arya-Stark,Bran-Stark,Undirected,10,2
Arya-Stark,Cersei-Lannister,Undirected,7,2
Arya-Stark,Chiswyck,Undirected,8,2
Arya-Stark,Dobber,Undirected,4,2
Arya-Stark,Dunsen,Undirected,3,2
Arya-Stark,Eddard-Stark,Undirected,6,2
Arya-Stark,Gendry,Undirected,36,2
Arya-Stark,Gregor-Clegane,Undirected,4,2
Arya-Stark,Harra,Undirected,3,2
Arya-Stark,Harren-Hoare,Undirected,7,2
Arya-Stark,Hot-Pie,Undirected,51,2
Arya-Stark,Jaime-Lannister,Undirected,3,2
Arya-Stark,Jaqen-Hghar,Undirected,25,2
Arya-Stark,Joffrey-Baratheon,Undirected,4,2
Arya-Stark,Jon-Snow,Undirected,13,2
Arya-Stark,Koss,Undirected,3,2
Arya-Stark,Lommy-Greenhands,Undirected,31,2
Arya-Stark,Nan,Undirected,5,2
Arya-Stark,Polliver,Undirected,3,2
Arya-Stark,Praed,Undirected,3,2
Arya-Stark,Rafford,Undirected,5,2
Arya-Stark,Rickon-Stark,Undirected,5,2
Arya-Stark,Robb-Stark,Undirected,15,2
Arya-Stark,Robert-Baratheon,Undirected,4,2
Arya-Stark,Roose-Bolton,Undirected,13,2
Arya-Stark,Rorge,Undirected,13,2
Arya-Stark,Sansa-Stark,Undirected,20,2
Arya-Stark,Syrio-Forel,Undirected,5,2
Arya-Stark,Tyrion-Lannister,Undirected,4,2
Arya-Stark,Tywin-Lannister,Undirected,13,2
Arya-Stark,Vargo-Hoat,Undirected,6,2
Arya-Stark,Weasel,Undirected,10,2
Arya-Stark,Weese,Undirected,15,2
Arya-Stark,Woth,Undirected,3,2
Arya-Stark,Yoren,Undirected,28,2
Arys-Oakheart,Joffrey-Baratheon,Undirected,6,2
Arys-Oakheart,Myrcella-Baratheon,Undirected,4,2
Arys-Oakheart,Sansa-Stark,Undirected,3,2
Asha-Greyjoy,Balon-Greyjoy,Undirected,3,2
Asha-Greyjoy,Dagmer,Undirected,5,2
Asha-Greyjoy,Theon-Greyjoy,Undirected,35,2
Asha-Greyjoy,Wex-Pyke,Undirected,3,2
Axell-Florent,Selyse-Florent,Undirected,3,2
Axell-Florent,Stannis-Baratheon,Undirected,6,2
Bael-the-Bard,Ygritte,Undirected,5,2
Ballabar,Podrick-Payne,Undirected,3,2
Ballabar,Tyrion-Lannister,Undirected,12,2
Balon-Greyjoy,Catelyn-Stark,Undirected,3,2
Balon-Greyjoy,Dagmer,Undirected,3,2
Balon-Greyjoy,Eddard-Stark,Undirected,4,2
Balon-Greyjoy,Robb-Stark,Undirected,5,2
Balon-Greyjoy,Robert-Baratheon,Undirected,4,2
Balon-Greyjoy,Theon-Greyjoy,Undirected,27,2
Balon-Greyjoy,Victarion-Greyjoy,Undirected,4,2
Balon-Swann,Joffrey-Baratheon,Undirected,6,2
Balon-Swann,Mandon-Moore,Undirected,3,2
Balon-Swann,Meryn-Trant,Undirected,3,2
Balon-Swann,Osmund-Kettleblack,Undirected,4,2
Balon-Swann,Tyrion-Lannister,Undirected,8,2
Barristan-Selmy,Belwas,Undirected,5,2
Barristan-Selmy,Cersei-Lannister,Undirected,5,2
Barristan-Selmy,Daenerys-Targaryen,Undirected,3,2
Barristan-Selmy,Joffrey-Baratheon,Undirected,7,2
Barristan-Selmy,Robert-Baratheon,Undirected,3,2
Barristan-Selmy,Varys,Undirected,3,2
Belwas,Daenerys-Targaryen,Undirected,5,2
Belwas,Jhogo,Undirected,3,2
Belwas,Jorah-Mormont,Undirected,4,2
Benfred-Tallhart,Helman-Tallhart,Undirected,3,2
Benfred-Tallhart,Leobald-Tallhart,Undirected,3,2
Benfred-Tallhart,Stygg,Undirected,3,2
Benfred-Tallhart,Theon-Greyjoy,Undirected,7,2
Benjen-Stark,Jeor-Mormont,Undirected,5,2
Beric-Dondarrion,Thoros-of-Myr,Undirected,3,2
Beth-Cassel,Bran-Stark,Undirected,4,2
Beth-Cassel,Rodrik-Cassel,Undirected,4,2
Beth-Cassel,Theon-Greyjoy,Undirected,3,2
Biter,Jaqen-Hghar,Undirected,12,2
Biter,Rorge,Undirected,14,2
Biter,Yoren,Undirected,3,2
Boros-Blount,Cersei-Lannister,Undirected,7,2
Boros-Blount,Gyles-Rosby,Undirected,5,2
Boros-Blount,Joffrey-Baratheon,Undirected,11,2
Boros-Blount,Meryn-Trant,Undirected,13,2
Boros-Blount,Sansa-Stark,Undirected,8,2
Boros-Blount,Tanda-Stokeworth,Undirected,3,2
Boros-Blount,Tommen-Baratheon,Undirected,3,2
Boros-Blount,Tyrion-Lannister,Undirected,8,2
Bran-Stark,Catelyn-Stark,Undirected,3,2
Bran-Stark,Chayle,Undirected,3,2
Bran-Stark,Cley-Cerwyn,Undirected,5,2
Bran-Stark,Donella-Hornwood,Undirected,5,2
Bran-Stark,Eddard-Stark,Undirected,4,2
Bran-Stark,Hayhead,Undirected,6,2
Bran-Stark,Hodor,Undirected,59,2
Bran-Stark,Howland-Reed,Undirected,3,2
Bran-Stark,Jojen-Reed,Undirected,47,2
Bran-Stark,Jon-Snow,Undirected,11,2
Bran-Stark,Luwin,Undirected,51,2
Bran-Stark,Meera-Reed,Undirected,36,2
Bran-Stark,Mikken,Undirected,11,2
Bran-Stark,Nan,Undirected,7,2
Bran-Stark,Osha,Undirected,30,2
Bran-Stark,Poxy-Tym,Undirected,3,2
Bran-Stark,Ramsay-Snow,Undirected,7,2
Bran-Stark,Reek,Undirected,3,2
Bran-Stark,Rickon-Stark,Undirected,54,2
Bran-Stark,Robb-Stark,Undirected,28,2
Bran-Stark,Rodrik-Cassel,Undirected,34,2
Bran-Stark,Sansa-Stark,Undirected,5,2
Bran-Stark,Stafford-Lannister,Undirected,3,2
Bran-Stark,Theon-Greyjoy,Undirected,24,2
Bran-Stark,Walder-Frey-(son-of-Jammos),Undirected,5,2
Bran-Stark,Walder-Frey-(son-of-Merrett),Undirected,12,2
Bran-Stark,Wyman-Manderly,Undirected,6,2
Brienne-of-Tarth,Catelyn-Stark,Undirected,36,2
Brienne-of-Tarth,Edmure-Tully,Undirected,3,2
Brienne-of-Tarth,Emmon-Cuy,Undirected,8,2
Brienne-of-Tarth,Jaime-Lannister,Undirected,3,2
Brienne-of-Tarth,Renly-Baratheon,Undirected,28,2
Brienne-of-Tarth,Robar-Royce,Undirected,3,2
Brienne-of-Tarth,Robert-Baratheon,Undirected,3,2
Brienne-of-Tarth,Selwyn-Tarth,Undirected,4,2
Brienne-of-Tarth,Stannis-Baratheon,Undirected,5,2
Brienne-of-Tarth,Vyman,Undirected,3,2
Bronn,Cersei-Lannister,Undirected,11,2
Bronn,Jacelyn-Bywater,Undirected,7,2
Bronn,Joffrey-Baratheon,Undirected,9,2
Bronn,Mandon-Moore,Undirected,5,2
Bronn,Podrick-Payne,Undirected,3,2
Bronn,Stannis-Baratheon,Undirected,3,2
Bronn,Timett,Undirected,5,2
Bronn,Tommen-Baratheon,Undirected,3,2
Bronn,Tyrion-Lannister,Undirected,40,2
Bronn,Varys,Undirected,8,2
Bryce-Caron,Cortnay-Penrose,Undirected,3,2
Bryce-Caron,Eldon-Estermont,Undirected,3,2
Bryce-Caron,Guyard-Morrigen,Undirected,5,2
Bryce-Caron,Renly-Baratheon,Undirected,7,2
Bryce-Caron,Stannis-Baratheon,Undirected,3,2
Brynden-Tully,Catelyn-Stark,Undirected,5,2
Brynden-Tully,Robb-Stark,Undirected,6,2
Brynden-Tully,Tywin-Lannister,Undirected,3,2
Captain-Myraham,Theon-Greyjoy,Undirected,4,2
Captain-Myraham-Daughter,Theon-Greyjoy,Undirected,3,2
Catelyn-Stark,Cersei-Lannister,Undirected,14,2
Catelyn-Stark,Cleos-Frey,Undirected,5,2
Catelyn-Stark,Colen-of-Greenpools,Undirected,6,2
Catelyn-Stark,Desmond-Grell,Undirected,3,2
Catelyn-Stark,Eddard-Stark,Undirected,12,2
Catelyn-Stark,Edmure-Tully,Undirected,17,2
Catelyn-Stark,Hallis-Mollen,Undirected,6,2
Catelyn-Stark,Hoster-Tully,Undirected,5,2
Catelyn-Stark,Jaime-Lannister,Undirected,16,2
Catelyn-Stark,Joffrey-Baratheon,Undirected,4,2
Catelyn-Stark,Loras-Tyrell,Undirected,6,2
Catelyn-Stark,Lysa-Arryn,Undirected,7,2
Catelyn-Stark,Margaery-Tyrell,Undirected,4,2
Catelyn-Stark,Mathis-Rowan,Undirected,3,2
Catelyn-Stark,Randyll-Tarly,Undirected,3,2
Catelyn-Stark,Renly-Baratheon,Undirected,51,2
Catelyn-Stark,Rickon-Stark,Undirected,3,2
Catelyn-Stark,Robar-Royce,Undirected,7,2
Catelyn-Stark,Robb-Stark,Undirected,27,2
Catelyn-Stark,Robert-Baratheon,Undirected,5,2
Catelyn-Stark,Sansa-Stark,Undirected,3,2
Catelyn-Stark,Stafford-Lannister,Undirected,3,2
Catelyn-Stark,Stannis-Baratheon,Undirected,20,2
Catelyn-Stark,Theon-Greyjoy,Undirected,5,2
Catelyn-Stark,Tyrion-Lannister,Undirected,10,2
Catelyn-Stark,Tywin-Lannister,Undirected,14,2
Catelyn-Stark,Utherydes-Wayn,Undirected,3,2
Catelyn-Stark,Vyman,Undirected,4,2
Catelyn-Stark,Wendel-Manderly,Undirected,7,2
Cersei-Lannister,Chiswyck,Undirected,3,2
Cersei-Lannister,Cleos-Frey,Undirected,6,2
Cersei-Lannister,Dunsen,Undirected,3,2
Cersei-Lannister,Eddard-Stark,Undirected,13,2
Cersei-Lannister,Gregor-Clegane,Undirected,4,2
Cersei-Lannister,Gyles-Rosby,Undirected,6,2
Cersei-Lannister,Ilyn-Payne,Undirected,12,2
Cersei-Lannister,Jacelyn-Bywater,Undirected,4,2
Cersei-Lannister,Jaime-Lannister,Undirected,17,2
Cersei-Lannister,Janos-Slynt,Undirected,9,2
Cersei-Lannister,Joffrey-Baratheon,Undirected,63,2
Cersei-Lannister,Lancel-Lannister,Undirected,20,2
Cersei-Lannister,Lysa-Arryn,Undirected,5,2
Cersei-Lannister,Meryn-Trant,Undirected,11,2
Cersei-Lannister,Myrcella-Baratheon,Undirected,4,2
Cersei-Lannister,Osfryd-Kettleblack,Undirected,7,2
Cersei-Lannister,Osmund-Kettleblack,Undirected,4,2
Cersei-Lannister,Osney-Kettleblack,Undirected,3,2
Cersei-Lannister,Petyr-Baelish,Undirected,7,2
Cersei-Lannister,Polliver,Undirected,3,2
Cersei-Lannister,Preston-Greenfield,Undirected,3,2
Cersei-Lannister,Pycelle,Undirected,6,2
Cersei-Lannister,Rafford,Undirected,3,2
Cersei-Lannister,Renly-Baratheon,Undirected,7,2
Cersei-Lannister,Robb-Stark,Undirected,15,2
Cersei-Lannister,Robert-Baratheon,Undirected,12,2
Cersei-Lannister,Sandor-Clegane,Undirected,9,2
Cersei-Lannister,Sansa-Stark,Undirected,39,2
Cersei-Lannister,Shae,Undirected,5,2
Cersei-Lannister,Stannis-Baratheon,Undirected,23,2
Cersei-Lannister,Tanda-Stokeworth,Undirected,3,2
Cersei-Lannister,Tickler,Undirected,5,2
Cersei-Lannister,Tommen-Baratheon,Undirected,10,2
Cersei-Lannister,Tyrion-Lannister,Undirected,87,2
Cersei-Lannister,Tywin-Lannister,Undirected,10,2
Cersei-Lannister,Varys,Undirected,23,2
Cersei-Lannister,Vylarr,Undirected,3,2
Chataya,Tyrion-Lannister,Undirected,6,2
Chayle,Mikken,Undirected,4,2
Chella,Shae,Undirected,4,2
Chella,Tyrion-Lannister,Undirected,3,2
Chella,Varys,Undirected,4,2
Chett,Jon-Snow,Undirected,5,2
Chiswyck,Dunsen,Undirected,3,2
Chiswyck,Gregor-Clegane,Undirected,4,2
Chiswyck,Ilyn-Payne,Undirected,3,2
Chiswyck,Joffrey-Baratheon,Undirected,3,2
Chiswyck,Meryn-Trant,Undirected,3,2
Chiswyck,Polliver,Undirected,4,2
Chiswyck,Rafford,Undirected,7,2
Chiswyck,Sandor-Clegane,Undirected,3,2
Chiswyck,Tickler,Undirected,5,2
Chiswyck,Weese,Undirected,6,2
Cleos-Frey,Eddard-Stark,Undirected,3,2
Cleos-Frey,Jaime-Lannister,Undirected,3,2
Cleos-Frey,Robb-Stark,Undirected,11,2
Cleos-Frey,Tyrion-Lannister,Undirected,13,2
Cley-Cerwyn,Donella-Hornwood,Undirected,3,2
Cley-Cerwyn,Rodrik-Cassel,Undirected,4,2
Colen-of-Greenpools,Renly-Baratheon,Undirected,3,2
Cortnay-Penrose,Davos-Seaworth,Undirected,5,2
Cortnay-Penrose,Renly-Baratheon,Undirected,3,2
Cortnay-Penrose,Stannis-Baratheon,Undirected,18,2
Cortnay-Penrose,Tyrion-Lannister,Undirected,3,2
Cortnay-Penrose,Varys,Undirected,3,2
Craster,Dywen,Undirected,7,2
Craster,Eddison-Tollett,Undirected,3,2
Craster,Jeor-Mormont,Undirected,19,2
Craster,Jon-Snow,Undirected,26,2
Craster,Mance-Rayder,Undirected,4,2
Craster,Samwell-Tarly,Undirected,10,2
Craster,Thoren-Smallwood,Undirected,4,2
Cressen,Davos-Seaworth,Undirected,10,2
Cressen,Melisandre,Undirected,7,2
Cressen,Patchface,Undirected,8,2
Cressen,Pylos,Undirected,17,2
Cressen,Renly-Baratheon,Undirected,4,2
Cressen,Robert-Baratheon,Undirected,4,2
Cressen,Selyse-Florent,Undirected,3,2
Cressen,Shireen-Baratheon,Undirected,6,2
Cressen,Stannis-Baratheon,Undirected,21,2
Cutjack,Gendry,Undirected,3,2
Cutjack,Kurz,Undirected,4,2
Cutjack,Tarber,Undirected,3,2
Daenerys-Targaryen,Doreah,Undirected,3,2
Daenerys-Targaryen,Drogo,Undirected,8,2
Daenerys-Targaryen,Irri,Undirected,6,2
Daenerys-Targaryen,Jhiqui,Undirected,7,2
Daenerys-Targaryen,Jhogo,Undirected,12,2
Daenerys-Targaryen,Jorah-Mormont,Undirected,29,2
Daenerys-Targaryen,Lynesse-Hightower,Undirected,3,2
Daenerys-Targaryen,Mirri-Maz-Duur,Undirected,3,2
Daenerys-Targaryen,Pono,Undirected,4,2
Daenerys-Targaryen,Pyat-Pree,Undirected,14,2
Daenerys-Targaryen,Quaithe,Undirected,5,2
Daenerys-Targaryen,Rakharo,Undirected,4,2
Daenerys-Targaryen,Robert-Baratheon,Undirected,4,2
Daenerys-Targaryen,Viserys-Targaryen,Undirected,3,2
Daenerys-Targaryen,Xaro-Xhoan-Daxos,Undirected,13,2
Dagmer,Rodrik-Cassel,Undirected,3,2
Dagmer,Theon-Greyjoy,Undirected,7,2
Dalbridge,Ebben,Undirected,4,2
Dalbridge,Jon-Snow,Undirected,4,2
Dalbridge,Qhorin-Halfhand,Undirected,5,2
Davos-Seaworth,Devan-Seaworth,Undirected,4,2
Davos-Seaworth,Imry-Florent,Undirected,3,2
Davos-Seaworth,Matthos-Seaworth,Undirected,3,2
Davos-Seaworth,Melisandre,Undirected,20,2
Davos-Seaworth,Monford-Velaryon,Undirected,3,2
Davos-Seaworth,Pylos,Undirected,9,2
Davos-Seaworth,Renly-Baratheon,Undirected,6,2
Davos-Seaworth,Salladhor-Saan,Undirected,8,2
Davos-Seaworth,Stannis-Baratheon,Undirected,58,2
Desmond-Grell,Edmure-Tully,Undirected,4,2
Desmond-Grell,Utherydes-Wayn,Undirected,3,2
Devan-Seaworth,Renly-Baratheon,Undirected,3,2
